seg_id,audio_path,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
seg_0001,E:\Project\Python\dataProcess\Script\data\math\llm_reseg_fuzzy\audio\seg_0001.wav,37.84424591064453,0.3377645015716553,28.457260131835938,30.965351104736328,58.81324005126953,30.355979919433594,1276.122802734375,1017.2769165039062,366.2686767578125,377.0882873535156,0.12284723669290543,0.7152161598205566,0.04922790080308914,0.08124221861362457,0.2049621045589447,0.15573421120643616,2.2027084827423096,1.1831536293029785,2.0019664764404297,0.9938932061195374,0.01874903216958046,1.1333240270614624,-5.553440093994141,-2.260450601577759,8.997223854064941,1.3427098989486694,10.18144702911377,0.9948762059211731,-20.386882781982422,-0.5771511793136597,0.025139158591628075,0.8275309205055237,1.519326090812683,0.5680010914802551,0.4497200548648834,9.585165977478027,-1.5343332290649414,-4.418319225311279,5.4713287353515625,2.425715208053589,883.9601440429688,0.3608897030353546,1027.2620849609375,0.31016629934310913,-163.44583129882812,-0.45593810081481934,1973.5771484375,0.1805810183286667,935.1400146484375,0.2935538589954376,-153.98980712890625,-0.5084741711616516,2875.001953125,0.10217373073101044,916.19384765625,0.439160019159317,-150.62551879882812,-0.5399259328842163,2.257537841796875,5.619497776031494,2.759925127029419,5.346865177154541,0.10998044908046722,0.18656668066978455,-0.0013794093392789364,-12.240118026733398,0.03364430367946625,0.5921233892440796,-3.2180016040802,-5.451870441436768,5.828926086425781,2.8442440032958984,2.210721492767334,5.46917200088501,-27.300338745117188,-0.529447078704834,3.464279890060425,0.7067340016365051,0.10049542784690857,0.008944055996835232,0.014243298210203648,4.395604610443115,3.0640668869018555,0.07090909034013748,0.04660365357995033,0.23363634943962097,0.21910034120082855,-47.631492614746094
seg_0002,E:\Project\Python\dataProcess\Script\data\math\llm_reseg_fuzzy\audio\seg_0002.wav,36.327239990234375,0.16053687036037445,31.82488250732422,36.08899688720703,39.87498092651367,8.050098419189453,93.57875061035156,55.17060852050781,47.182159423828125,97.58879852294922,0.08013085275888443,0.8440657258033752,0.03836224228143692,0.04452391341328621,0.13238857686519623,0.09402633458375931,1.863310694694519,1.6674554347991943,1.3457139730453491,1.016400694847107,0.010189041495323181,1.5736502408981323,-3.085808277130127,-2.529036045074463,13.791607856750488,0.5568382143974304,12.466944694519043,0.7235947847366333,-15.212821006774902,-0.7935367226600647,0.040427640080451965,1.3178699016571045,1.4767347574234009,0.7313050627708435,4.492344379425049,0.8734033107757568,9.165027618408203,0.8464823961257935,17.05927085876465,0.6547913551330566,762.3628540039062,0.3228236734867096,1294.89404296875,0.2873607575893402,-171.0846710205078,-0.39166000485420227,1871.4656982421875,0.15985193848609924,829.352294921875,0.36959943175315857,-166.94090270996094,-0.406980037689209,2820.5048828125,0.07987421005964279,849.9400634765625,0.3975871205329895,-165.8904266357422,-0.42175060510635376,-8.251433372497559,-1.0967456102371216,13.254767417907715,0.7704285383224487,0.10023634135723114,0.15316300094127655,-0.010032485239207745,-1.6707435846328735,0.02849017269909382,0.7036188244819641,3.4711592197418213,2.63311767578125,20.027517318725586,0.5773516297340393,6.534354209899902,2.1583516597747803,-25.611692428588867,-0.5633140802383423,0.7551850080490112,4.6370954513549805,0.09451385587453842,0.013112518936395645,0.005919962655752897,1.9101125001907349,1.2457531690597534,0.14000000059604645,0.10694093257188797,0.5407692193984985,1.0292973518371582,-51.342185974121094
seg_0003,E:\Project\Python\dataProcess\Script\data\math\llm_reseg_fuzzy\audio\seg_0003.wav,36.1330451965332,0.17923147976398468,31.811599731445312,35.379241943359375,38.500823974609375,6.6892242431640625,176.183349609375,157.6211700439453,621.068603515625,984.602294921875,0.10857810825109482,0.6759353876113892,0.04270334541797638,0.09346570074558258,0.1619981825351715,0.11929483711719513,1.857300877571106,1.3995802402496338,1.4176594018936157,1.1115580797195435,0.014230894856154919,1.342213749885559,-3.1328611373901367,-3.731844186782837,18.18696403503418,0.5457457304000854,6.534805774688721,1.6592276096343994,-20.507373809814453,-0.7024003267288208,0.017313852906227112,1.1958160400390625,1.1100269556045532,0.5704395771026611,4.522981643676758,1.0128705501556396,6.057595729827881,1.4014290571212769,17.343379974365234,0.6367297768592834,661.1427001953125,0.4122549891471863,1309.24609375,0.20665118098258972,-147.2250213623047,-0.5518388152122498,1805.0712890625,0.1688135713338852,836.5105590820312,0.33895716071128845,-136.89053344726562,-0.5974919199943542,2777.3798828125,0.09332007169723511,865.1991577148438,0.3899959921836853,-134.95762634277344,-0.6193519830703735,-6.065319061279297,-1.7995325326919556,10.89493465423584,1.0816576480865479,0.10613534599542618,0.131822407245636,-0.009655059315264225,-1.7937915325164795,0.02216343954205513,0.9183250069618225,0.3396933376789093,37.35239028930664,20.0985164642334,0.5895998477935791,1.0999951362609863,10.636207580566406,-26.018402099609375,-0.6222126483917236,0.2455679327249527,4.557034969329834,0.0951419323682785,0.006079330574721098,0.00990331545472145,3.3582091331481934,3.396226644515991,0.09222222119569778,0.06900528073310852,0.17999999225139618,0.22516660392284393,-48.40629577636719
seg_0004,E:\Project\Python\dataProcess\Script\data\math\llm_reseg_fuzzy\audio\seg_0004.wav,37.19183349609375,0.16606149077415466,32.39957046508789,36.35315704345703,40.749176025390625,8.349605560302734,182.6892852783203,216.85549926757812,1033.949462890625,1250.8023681640625,0.1088736355304718,0.733758807182312,0.038853541016578674,0.08257464319467545,0.17220744490623474,0.13335390388965607,2.075924873352051,1.457707405090332,0.9554876685142517,0.5477257966995239,0.015752378851175308,1.2686619758605957,-4.978025436401367,-2.3637216091156006,18.204477310180664,0.4892549216747284,8.602609634399414,1.3151944875717163,-18.48635482788086,-0.6964544057846069,0.022579770535230637,1.46741783618927,1.1190462112426758,0.7136079668998718,5.24613618850708,0.7722724676132202,8.718522071838379,1.0207319259643555,18.477190017700195,0.4584278464317322,688.9247436523438,0.347651869058609,1368.729736328125,0.26387450098991394,-155.2331085205078,-0.5019810199737549,1815.0936279296875,0.17107103765010834,916.5196533203125,0.38986149430274963,-148.16294860839844,-0.5248296856880188,2775.4541015625,0.08024352788925171,871.5455932617188,0.36906829476356506,-146.1819610595703,-0.5459548234939575,-7.971925735473633,-1.1691678762435913,13.130311965942383,0.7812733054161072,0.10082580149173737,0.16453340649604797,-0.006471247877925634,-2.3791067600250244,0.023999445140361786,0.8157875537872314,1.1895416975021362,8.307302474975586,21.67171287536621,0.4417007863521576,3.341805934906006,4.310103893280029,-25.4569149017334,-0.6557868719100952,2.317493200302124,2.4890201091766357,0.09656362980604172,0.010786822997033596,0.012219969183206558,3.010033369064331,2.5337836742401123,0.10599999874830246,0.07209253311157227,0.25,0.31874752044677734,-47.84223556518555
seg_0005,E:\Project\Python\dataProcess\Script\data\math\llm_reseg_fuzzy\audio\seg_0005.wav,39.252349853515625,0.22293563187122345,33.15869903564453,37.88116455078125,42.81034469604492,9.65164566040039,649.7423706054688,819.0549926757812,104.67940521240234,76.73374938964844,0.14970222115516663,0.6538881063461304,0.052451979368925095,0.13901209831237793,0.21260932087898254,0.16015733778476715,2.250108242034912,1.3108693361282349,1.6596307754516602,1.148784875869751,0.0254315584897995,1.2464032173156738,-6.341732025146484,-2.1584084033966064,14.910588264465332,0.719753623008728,7.82433557510376,1.7814892530441284,-20.179950714111328,-0.6279577016830444,0.03980240970849991,1.2633624076843262,1.3645042181015015,0.6673064827919006,3.094805955886841,1.472898244857788,6.8259453773498535,1.6115550994873047,11.114795684814453,1.464165210723877,766.5472412109375,0.3877358138561249,1172.6912841796875,0.3303702473640442,-149.4305419921875,-0.5326604843139648,1829.7071533203125,0.1593339741230011,938.1026000976562,0.38219374418258667,-131.7240753173828,-0.6427567005157471,2783.232177734375,0.08580669015645981,916.3226928710938,0.3248128592967987,-129.9226837158203,-0.6673637628555298,-2.3711564540863037,-5.440197467803955,8.249741554260254,1.7630029916763306,0.10474615544080734,0.17052511870861053,-0.003087130142375827,-4.878239154815674,0.03735916689038277,0.9902494549751282,-3.228656768798828,-4.559679985046387,12.395463943481445,0.9747825264930725,3.7406153678894043,4.005413055419922,-23.876224517822266,-0.5815869569778442,2.214904308319092,2.3179705142974854,0.10094809532165527,0.005299259442836046,0.01860935054719448,3.8352272510528564,3.5765380859375,0.09359999746084213,0.07199333608150482,0.17166665196418762,0.17264285683631897,-45.004024505615234
seg_0006,E:\Project\Python\dataProcess\Script\data\math\llm_reseg_fuzzy\audio\seg_0006.wav,36.87102127075195,0.20442266762256622,29.699832916259766,37.08683395385742,41.510128021240234,11.810295104980469,367.34576416015625,453.875244140625,99.6429672241211,103.67799377441406,0.12317878007888794,0.7717530131340027,0.03958824276924133,0.08937565982341766,0.19828370213508606,0.15869545936584473,2.1909339427948,1.3427565097808838,1.4562069177627563,0.8907365798950195,0.018123481422662735,1.2174880504608154,-4.677962779998779,-2.4597625732421875,13.284483909606934,0.7537542581558228,7.698225498199463,1.6521810293197632,-16.879268646240234,-0.6917797923088074,0.026495937258005142,1.6861624717712402,1.20509672164917,0.5652592182159424,4.046061038970947,1.1954402923583984,10.950778007507324,0.8718786239624023,16.630430221557617,0.7016774415969849,762.9374389648438,0.3297117352485657,1312.1256103515625,0.3020302951335907,-165.02296447753906,-0.43230172991752625,1818.88623046875,0.1512603610754013,934.1702880859375,0.41684508323669434,-157.0214080810547,-0.4773351550102234,2803.618408203125,0.09119854122400284,902.76318359375,0.374053955078125,-156.17747497558594,-0.48568788170814514,-4.709956169128418,-2.4802141189575195,10.300172805786133,1.2488943338394165,0.09655875712633133,0.20548027753829956,-0.0011817794293165207,-10.290887832641602,0.03619915246963501,0.7750766277313232,-0.7038693428039551,-20.726713180541992,14.526261329650879,0.8941794633865356,1.5741852521896362,9.672590255737305,-23.50225257873535,-0.45636433362960815,1.4286116361618042,3.5511600971221924,0.09698013961315155,0.01103170495480299,0.012367038056254387,3.432281970977783,2.1455225944519043,0.10130434483289719,0.07290877401828766,0.35999998450279236,0.39118701219558716,-46.82232666015625
seg_0007,E:\Project\Python\dataProcess\Script\data\math\llm_reseg_fuzzy\audio\seg_0007.wav,36.0780029296875,0.19081290066242218,29.17349624633789,36.050209045410156,41.79376983642578,12.62027359008789,458.5126953125,953.0667114257812,131.32833862304688,68.63948059082031,0.08866668492555618,0.93520188331604,0.03888890519738197,0.049883414059877396,0.13085854053497314,0.09196963906288147,2.284411668777466,1.7861316204071045,1.4631446599960327,1.2828733921051025,0.010884660296142101,1.68215811252594,-4.4095377922058105,-1.8642324209213257,10.982765197753906,0.8467292785644531,10.943031311035156,1.0065631866455078,-15.107826232910156,-0.7063085436820984,0.03486386686563492,1.5954406261444092,1.2141456604003906,0.8209201693534851,4.439803600311279,0.9954553246498108,6.885387897491455,1.2499116659164429,14.884232521057129,0.6938020586967468,771.5972900390625,0.34799546003341675,1259.12890625,0.21397455036640167,-179.06346130371094,-0.335050106048584,1875.9434814453125,0.15190596878528595,880.7299194335938,0.2890721261501312,-174.7306365966797,-0.357448548078537,2832.63671875,0.08169855177402496,821.9617919921875,0.3346846401691437,-174.2256317138672,-0.36546576023101807,-6.3036346435546875,-1.7116856575012207,12.047538757324219,0.926030158996582,0.10313007980585098,0.1870085448026657,-0.006674726027995348,-2.5729968547821045,0.034173931926488876,0.7642091512680054,1.5981444120407104,7.105949401855469,13.582646369934082,1.0425951480865479,2.430912733078003,5.904679298400879,-26.534778594970703,-0.5175703167915344,1.887497067451477,3.006195306777954,0.09394264221191406,0.012304202653467655,0.006924040615558624,1.5933716297149658,1.0869566202163696,0.11941175907850266,0.06457740813493729,0.7805882096290588,1.662512183189392,-48.74752426147461
seg_0008,E:\Project\Python\dataProcess\Script\data\math\llm_reseg_fuzzy\audio\seg_0008.wav,39.00400924682617,0.18638718128204346,32.26302719116211,39.718170166015625,42.1185417175293,9.855514526367188,105.7627182006836,92.75459289550781,542.9864501953125,602.95556640625,0.17520806193351746,0.5569209456443787,0.07365471869707108,0.15564176440238953,0.26609787344932556,0.19244316220283508,2.533902406692505,1.4498240947723389,1.8430176973342896,0.7061319351196289,0.030097395181655884,0.7913570404052734,-5.17368221282959,-2.858398914337158,13.821978569030762,0.7906858921051025,3.5838136672973633,4.080464839935303,-25.54362678527832,-0.7145358324050903,0.05030272901058197,1.7172449827194214,1.047276496887207,0.7098656296730042,4.504840850830078,1.1352659463882446,8.616354942321777,0.9771185517311096,16.733144760131836,0.5161758661270142,748.4044189453125,0.405978798866272,1230.875732421875,0.21722814440727234,-137.50148010253906,-0.6280665993690491,1844.5115966796875,0.15790632367134094,947.0368041992188,0.36689484119415283,-124.6151351928711,-0.6738224029541016,2812.056640625,0.07888384908437729,775.2484130859375,0.4330536127090454,-123.35940551757812,-0.6910257339477539,-4.467942237854004,-2.7014048099517822,10.467597961425781,1.2051537036895752,0.1034122109413147,0.21088287234306335,-0.00715513713657856,-2.7158472537994385,0.037123315036296844,0.5865779519081116,0.8431780934333801,15.867044448852539,12.10084342956543,1.1030762195587158,-3.4377737045288086,-4.3880696296691895,-33.557281494140625,-0.5795465111732483,2.6363120079040527,2.2187132835388184,0.10192450881004333,0.005650069564580917,0.02626887522637844,5.08474588394165,3.896104097366333,0.09666667133569717,0.08419553935527802,0.125,0.08345656841993332,-44.02327346801758
seg_0009,E:\Project\Python\dataProcess\Script\data\math\llm_reseg_fuzzy\audio\seg_0009.wav,38.93617248535156,0.22401826083660126,31.368860244750977,38.690921783447266,43.0359992980957,11.667139053344727,562.6944580078125,755.5051879882812,212.92868041992188,182.65350341796875,0.12835948169231415,0.7544523477554321,0.04440554976463318,0.09247696399688721,0.20773112773895264,0.16332557797431946,2.411919116973877,1.442592740058899,1.503623366355896,1.0909836292266846,0.021563731133937836,1.3066924810409546,-4.600725173950195,-2.633768081665039,16.40071678161621,0.6811841130256653,7.983536243438721,1.680061936378479,-20.467174530029297,-0.6999412775039673,0.04980810359120369,1.8021258115768433,1.3215439319610596,0.715404748916626,3.277782917022705,1.553059697151184,11.520837783813477,0.9944394826889038,16.079458236694336,0.9687085747718811,751.9856567382812,0.3608081042766571,1256.346435546875,0.24516604840755463,-161.19473266601562,-0.4474334716796875,1828.6605224609375,0.14312085509300232,933.7197265625,0.4393131136894226,-151.2830810546875,-0.49632012844085693,2788.727783203125,0.08055722713470459,845.291259765625,0.3421301245689392,-149.10838317871094,-0.5188494920730591,-4.163802146911621,-2.871000051498413,8.696372032165527,1.5151410102844238,0.10068776458501816,0.16749083995819092,-0.004276139196008444,-3.7602996826171875,0.03409779071807861,0.8492277264595032,-2.155648708343506,-6.580005645751953,18.650428771972656,0.7065255045890808,4.0365519523620605,4.243924140930176,-25.718435287475586,-0.6042267680168152,0.6252466440200806,3.9609053134918213,0.09923709183931351,0.006180768832564354,0.01682005636394024,3.620689868927002,3.1168830394744873,0.07972221821546555,0.07558976113796234,0.2396969497203827,0.21664780378341675,-45.01105880737305
seg_0010,E:\Project\Python\dataProcess\Script\data\math\llm_reseg_fuzzy\audio\seg_0010.wav,37.011653900146484,0.1657603681087494,30.227346420288086,38.964019775390625,42.50299072265625,12.275644302368164,394.69207763671875,461.6915283203125,106.32553100585938,61.1587028503418,0.09962838143110275,0.84291011095047,0.03768716752529144,0.05703245475888252,0.16474176943302155,0.1270546019077301,1.9970412254333496,1.5529296398162842,1.204408049583435,0.7377946376800537,0.013321543112397194,1.2830054759979248,-3.925642967224121,-2.55139422416687,14.806265830993652,0.7063866853713989,9.272053718566895,1.2518744468688965,-16.078630447387695,-0.6835891604423523,0.034024614840745926,1.6868970394134521,1.0857813358306885,0.615382730960846,5.487168788909912,0.8202869296073914,11.138182640075684,0.9688999056816101,18.152130126953125,0.5632173418998718,801.5209350585938,0.3451523184776306,1248.56103515625,0.24824512004852295,-170.78045654296875,-0.381357342004776,1906.6033935546875,0.14865966141223907,920.2284545898438,0.4115326404571533,-166.08868408203125,-0.40359780192375183,2848.01025390625,0.0841626524925232,819.49072265625,0.34840768575668335,-165.40914916992188,-0.4135953187942505,-9.235057830810547,-1.0402185916900635,13.892913818359375,0.7278528213500977,0.09917702525854111,0.2100229114294052,-0.009713348001241684,-1.6027642488479614,0.03031977452337742,0.620238721370697,2.782336473464966,3.7152302265167236,20.39011573791504,0.6742737889289856,3.9700424671173096,3.463707208633423,-26.740177154541016,-0.4872801601886749,0.9767789244651794,3.8409087657928467,0.09450281411409378,0.01075329352170229,0.0091998977586627,2.127659559249878,1.848249077796936,0.09526315331459045,0.05275248736143112,0.448888897895813,0.8460882902145386,-46.55583190917969
seg_0011,E:\Project\Python\dataProcess\Script\data\math\llm_reseg_fuzzy\audio\seg_0011.wav,37.26164627075195,0.17169396579265594,31.28375816345215,38.20044708251953,40.60696029663086,9.323202133178711,299.7402648925781,261.8290710449219,87.27364349365234,52.23220443725586,0.13261066377162933,0.7595935463905334,0.03866604343056679,0.10473980009555817,0.21644499897956848,0.177778959274292,2.4307668209075928,1.0704478025436401,1.340788722038269,0.881664514541626,0.022846808657050133,1.1592297554016113,-4.796685218811035,-2.6120967864990234,15.553979873657227,0.48565229773521423,6.180571556091309,1.7566158771514893,-19.607826232910156,-0.5893306732177734,0.027787132188677788,0.6971955299377441,1.2700942754745483,0.4783422350883484,3.3901562690734863,1.2439384460449219,7.994678497314453,1.2253663539886475,17.001060485839844,0.6535053849220276,749.4132080078125,0.3295228183269501,1267.4366455078125,0.23322324454784393,-154.18670654296875,-0.4966858923435211,1835.6865234375,0.15564250946044922,914.9581909179688,0.30254051089286804,-144.16751098632812,-0.5472142696380615,2788.29345703125,0.0854029431939125,907.9840087890625,0.45163846015930176,-143.61045837402344,-0.5540725588798523,-5.033385276794434,-2.201779842376709,9.649370193481445,1.2359312772750854,0.10456592589616776,0.13609881699085236,-0.004867547191679478,-3.157916307449341,0.039264239370822906,0.6829749941825867,-0.8992720246315002,-15.29432201385498,15.601192474365234,0.5608521699905396,-0.1760839968919754,-60.29696273803711,-27.319875717163086,-0.47739967703819275,1.366894006729126,3.5652544498443604,0.09678642451763153,0.009629257954657078,0.0158691443502903,4.0201005935668945,3.0534353256225586,0.0925000011920929,0.045483510941267014,0.19769228994846344,0.2747349441051483,-45.52695846557617
